,model_name,aoc
0,model_RF,0.49429499570446733
1,model_AB,0.5077856529209623
2,model_GB,0.46669619845360827
3,model_ET,0.2934654209621993
4,model_vgg,0.5645403780068728
5,model_vgg16,0.47866999570446733
6,model_statoil,0.44333923969072164
7,model_resnet18,0.4565614261168385
8,model_densenet,0.4259826030927836
9,model_u_net,0.4319023840206186
10,model_australian,0.4319695017182131
