,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
11996,653188,16ODL143943,10A02R06,Perdita acqua dalla rete,CARRARA,AVENZA,VIA DEL PARMIGNOLA - AVENZA 39,39,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2016,583271.9619,4879239.6867,287.81,POINT (583271.9619 4879239.6867)
12047,588344,15ODL262896,27A09R04,"PERDITA RETE VIA MONTECATINI, 16",MASSA,MARINA DI MASSA,VIA MONTECATINI,16,MASSA,FERRO,90.0,0.0,CLOSE,iso,2015,589420.1564,4872746.2003,327.47,POINT (589420.1564 4872746.2003)
12048,588411,15ODL262988,27A09R04,"PERDITA RETE VIA STRADELLA, 155",MASSA,MARINA DI MASSA,VIA STRADELLA,155,MASSA,FERRO,160.0,0.0,CLOSE,iso,2015,590717.9204,4872829.3341,332.28,POINT (590717.9204 4872829.3341)
12051,593087,15ODL267920,27A09R04,"PERDITA RETE VIA AREZZO, 107 INC. VIA PISA",MASSA,MARINA DI MASSA,"VIA AREZZO ,107 INC. VIA PISA",,MASSA,FERRO,110.0,0.0,CLOSE,iso,2015,589502.6835,4873324.1628,456.89,POINT (589502.6835 4873324.1628)
12128,671163,16ODL163002,07A04R04,PERDITA STRADALE SEGNALATA DA COMUNE DI CAMAIORE,CAMAIORE,LIDO DI CAMAIORE,BRANCOLA,SNC,CAMAIORE,FIBROCEMENTO,100.0,1.0,CLOSE,iso,2016,599267.2782,4862390.0527,1618.52,POINT (599267.2782 4862390.0527)
12139,693820,16ODL187145,49A01R01,Perdita acqua dalla rete,VIAREGGIO,VIAREGGIO,VIA COLOMBO - VIAREGGIO 23/25,,VIAREGGIO,FERRO,100.0,0.0,CLOSE,iso,2016,599400.0562,4859331.2309,346.76,POINT (599400.0562 4859331.2309)
12150,704394,16ODL198317,49A01R01,Perdita acqua dalla rete,VIAREGGIO,VIAREGGIO,VIA G.LEOPARDI 19,,VIAREGGIO,FERRO,100.0,0.0,CLOSE,iso,2016,600145.142,4858914.847,346.76,POINT (600145.142 4858914.847)
12154,711113,16ODL205190,25A01R16,perdita rete idrica in loc maestà dei saldi,LICCIANA NARDI,LICCIANA NARDI,VIA MAESTA'DEI SALDI 6,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2016,583299.5029,4902438.6959,256.11,POINT (583299.5029 4902438.6959)
12191,750409,16ODL247320,49A01R01,Perdita acqua dalla rete,VIAREGGIO,VIAREGGIO,VIA INDIPENDENZA 54,,VIAREGGIO,FERRO,90.0,0.0,CLOSE,iso,2016,600888.4571,4857109.1108,292.4,POINT (600888.4571 4857109.1108)
12194,755394,16ODL252343,49A01R01,PERDITA STRADALE (passata),Viareggio,VIAREGGIO,Vittorio Veneto ang. Matteotti,00,VIAREGGIO,FERRO,100.0,0.0,CLOSE,iso,2016,600482.6555,4858084.4053,346.76,POINT (600482.6555 4858084.4053)
12198,762658,16ODL259797,49A01R01,passata Perdita acqua dalla rete,VIAREGGIO,VIAREGGIO,VIA VITTORIO VENETO 110,,VIAREGGIO,FERRO,100.0,0.0,CLOSE,iso,2016,600499.4018,4858509.0042,1387.04,POINT (600499.4018 4858509.0042)
12202,766756,16ODL264265,07A06R01,Perdita acqua dalla rete VIA SARZANESE PRESSO DOGANA,CAMAIORE,CAPEZZZANO PIANORE,VIA SARZANESE dopo rotatoria,,CAMAIORE,FIBROCEMENTO,200.0,0.0,CLOSE,iso,2016,600521.5129,4865578.882,408.77,POINT (600521.5129 4865578.882)
12212,777586,16ODL275940,49A01R01,passata Perdita acqua dalla rete,VIAREGGIO,VIAREGGIO,VIA COPPINO 9,,VIAREGGIO,FERRO,130.0,0.0,CLOSE,iso,2016,600844.0226,4857732.8958,346.76,POINT (600844.0226 4857732.8958)
