,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
0,434549,15ODL105517,38A05A01,Perdita acqua dalla rete montedivalli podenzana,PODENZANA,PODENZANA,Genova 0,0,PODENZANA,PEAD,110.0,0.0,CLOSE,iso,2015,568620.414,4893904.8382,286.57,POINT (568620.414 4893904.8382)
1,449895,15ODL121318,45A07A04,perdita su adduttrice serbatoio giovagallo eseguita il 01/ 06 2015,TRESANA,TRESANA,VIA BOLA 1,1,TRESANA,FERRO,90.0,0.0,CLOSE,iso,2015,569967.685,4898467.3278,220.99,POINT (569967.685 4898467.3278)
3,526117,15ODL198239,39A01A18,rotture idriche addutrice serbatoio di s. marco,pontremoli,BASSONE,bassone,00,PONTREMOLI,ACCIAIO,125.0,0.0,CLOSE,iso,2015,567494.3848,4914638.3966,645.88,POINT (567494.3848 4914638.3966)
9,815762,16ODL315760,39A01A04,PERDITA STRADALE,pontremoli,DOZZANO,dozzano,,PONTREMOLI,PEAD,110.0,0.0,CLOSE,iso,2016,568821.4487,4912968.2887,539.55,POINT (568821.4487 4912968.2887)
44,2621776,21ODL308113,39A01A08,Mancata fornitura idrica- PERDITA ACQUA DALLA RETE,PONTREMOLI,LOCALITA' COSTA S. NICOLO' 23,LOCALITA' COSTA S. NICOLO' 23,,PONTREMOLI,FERRO,90.0,0.0,CLOSE,iso,2021,567243.1819,4915041.6749,1057.92,POINT (567243.1819 4915041.6749)
48,449907,15ODL121331,18A01A07,Mancata fornitura idrica,FILATTIERA,FILATTIERA,GIGLIANA 1,,FILATTIERA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,575555.9762,4911678.1218,259.25,POINT (575555.9762 4911678.1218)
51,491740,15ODL163425,02A01A02,perdita rete di adduzione serb briccola in loc aulla c/o ponte strada statale,aulla,AULLA,nazionale,snc,AULLA,FERRO,272.0,0.0,CLOSE,iso,2015,577508.6532,4895238.0838,353.19,POINT (577508.6532 4895238.0838)
52,504663,15ODL175920,02A05A03,Perdita acqua dalla rete caprigliola,AULLA,CAPRIGLIOLA,VIA VECCHIA 0,0,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574628.5375,4891612.6858,234.59,POINT (574628.5375 4891612.6858)
54,513952,15ODL185745,02A05A03,perdita rete idrica in loc caprigliola su adduttrice serbatoio,AULLA,CAPRIGLIOLA,VIA CHIESUOLA 1,1,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574651.7831,4891654.6121,234.59,POINT (574651.7831 4891654.6121)
55,522441,15ODL194517,02A05A03,perdita rete idrica in loc caprigliola eseguita il 27 08 2015,aulla,CAPRIGLIOLA,del monte,snc,AULLA,FERRO,110.0,0.0,CLOSE,iso,2015,574682.9597,4891649.0724,1114.57,POINT (574682.9597 4891649.0724)
59,562715,15ODL236418,02A05A03,perdita su condotta adduttrice serbatoio caprigliola in loc albiano c/o pozzi,aulla,ALBIANO,molinetti,snc,AULLA,PEAD,110.0,0.0,CLOSE,iso,2015,573258.2066,4891272.8709,240.92,POINT (573258.2066 4891272.8709)
60,570659,15ODL244591,38A01A03,perdita su adduttrice saletto ripetitore in loc maestà del monte podenzana,podenzana,MAESTÀ DEL MONTE,mestà,snc,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2015,575582.4153,4895677.0199,208.27,POINT (575582.4153 4895677.0199)
61,584588,15ODL259222,18A01A07,PERDITA STRADALE,filattiera,ULIVETO,uliveto,\,FILATTIERA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,575367.8822,4911473.4994,227.38,POINT (575367.8822 4911473.4994)
74,800219,16ODL299842,38A01A03,perdita rete idrica in loc maestà del monte,podenzana,MAESTÀ DEL MONTE,maestà,snc,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2016,575573.1634,4895627.0639,623.74,POINT (575573.1634 4895627.0639)
80,875635,16ODL377789,45A01A01,Perdita acqua dalla rete,TRESANA,TRESANA,VIA PROVINCIALE 20,,TRESANA,FERRO,222.0,0.0,CLOSE,iso,2016,574980.4838,4897871.425,475.95,POINT (574980.4838 4897871.425)
96,1178504,17ODL351838,02A05A03,n 2 perdite adduttrice via nuova caprigliola aulla,aulla,CAPRIGLIOLA,nuova,0,AULLA,FERRO,110.0,0.0,CLOSE,iso,2017,574647.1431,4891624.7693,697.81,POINT (574647.1431 4891624.7693)
107,459585,15ODL131462,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA PROVINCIALE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589052.0565,4892297.2977,198.16,POINT (589052.0565 4892297.2977)
109,463965,15ODL135987,10A04A01,PERDITA STRADALE,CARRARA,FOSSONE,ROCATAGLIATA PRESSO SERBATOIO,000,CARRARA,ACCIAIO,90.0,6.0,CLOSE,iso,2015,584749.8069,4880168.0948,1143.88,POINT (584749.8069 4880168.0948)
112,500555,15ODL171802,25A01A10,perdita idrica,Licciana N,MONTI,Ca di Mornello,0,LICCIANA NARDI,ACCIAIO,100.0,0.0,CLOSE,iso,2015,580688.6053,4900310.355,256.11,POINT (580688.6053 4900310.355)
114,504605,15ODL175844,19A17A60,Mancata fornitura idrica,FIVIZZANO,PIANDIMOLINO,LOC SICCIALA 2,2,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589116.7325,4891721.5886,234.67,POINT (589116.7325 4891721.5886)
115,504757,15ODL176013,25A01A06,perdita dalla rete,licciana,TRITTA,massese 74,0,LICCIANA NARDI,ACCIAIO,110.0,0.0,CLOSE,iso,2015,582096.5592,4901033.4408,256.11,POINT (582096.5592 4901033.4408)
119,522430,15ODL194499,25A01A05,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA PROVINCIALE 1,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,581917.0087,4901027.2672,256.11,POINT (581917.0087 4901027.2672)
121,531067,15ODL203574,25A01A06,perdita dalla rete,LICCIANA NARDI,PANIGALE,CORSO AREONAUTICA,0,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2015,582768.4572,4901891.2374,256.11,POINT (582768.4572 4901891.2374)
126,553841,15ODL227286,25A01A05,riparazione perdita,LICCIANA NARDI,LICCIANA NARDI,FRAZ TAVERNELLE 0,snc,LICCIANA NARDI,FERRO,114.0,0.0,CLOSE,iso,2015,587733.838,4906735.9388,227.38,POINT (587733.838 4906735.9388)
128,559117,15ODL232723,04A04A38,Perdita acqua dalla rete,BAGNONE,LOC PASTINA - BAGNONE,LOC PASTINA 0,,BAGNONE,FERRO,160.0,2.0,CLOSE,iso,2015,580613.9206,4907497.2617,427.0,POINT (580613.9206 4907497.2617)
129,562565,15ODL236205,25A01A06,Mancata fornitura idrica,LICCIANA NARDI,LICCIANA NARDI,Corso areonautica 42,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,582496.6691,4901724.3893,512.23,POINT (582496.6691 4901724.3893)
131,574925,15ODL248847,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA XX SETTEMBRE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589051.987,4892302.4255,208.27,POINT (589051.987 4892302.4255)
134,597841,15ODL272866,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA XX SETTEMBRE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589039.1919,4892233.8685,208.27,POINT (589039.1919 4892233.8685)
139,418541,15ODL88880,51A01A01,Perdita rete idrica,bagnone,CORLAGA,ponte redivalle,www,VILLAFRANCA IN LUNIGIANA,ACCIAIO,100.0,0.0,CLOSE,iso,2015,579638.5362,4909588.2338,624.58,POINT (579638.5362 4909588.2338)
144,672538,16ODL164653,10A12A04,PERDITA VIA EMILIA 0 LOC. LINARA SENTIRE POLVERE A. 3470726308,CARRARA,LINARA,EMILIA,0,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2016,587467.1268,4882672.2152,575.62,POINT (587467.1268 4882672.2152)
145,1398336,18ODL208707,02A01A01,PERDITA su adduittrice briccola su strada ss 62 intervento del 13 04 2018,aulla,AULLA,nazionale,sdnc,AULLA,FERRO,272.0,0.0,CLOSE,iso,2018,577512.5909,4895336.0979,2156.65,POINT (577512.5909 4895336.0979)
153,1466024,18ODL279011,18A01A01,PERDITA STRADALE,filattiera,VICETO,viceto,,FILATTIERA,FERRO,90.0,0.0,CLOSE,iso,2018,572619.4219,4912379.2969,521.0,POINT (572619.4219 4912379.2969)
158,1507224,18ODL320918,18A01A07,PERDITA STRADALE,filattiera,CAPRIO,uliveto,,FILATTIERA,FERRO,90.0,0.0,CLOSE,iso,2018,574957.4633,4911207.0104,587.03,POINT (574957.4633 4911207.0104)
160,1546429,18ODL361383,02A01A01,Perdita acqua dalla rete,AULLA,AULLA,Q.RE MATTEOTTI 0,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2018,577470.901,4895111.6077,3051.23,POINT (577470.901 4895111.6077)
170,1820976,19ODL266613,38A01A03,assistenza scavo per ricerca perdita occulta,podenzana,PODENZANA,castello,,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2019,576021.5433,4895468.7576,1117.49,POINT (576021.5433 4895468.7576)
174,1863162,19ODL310954,18A01A01,perdita dalla rete,FILATTIERA,SPIAGGI,COMUNALE,,FILATTIERA,FERRO,90.0,2.0,CLOSE,iso,2019,572643.3062,4912181.6256,776.16,POINT (572643.3062 4912181.6256)
175,1875155,19ODL323421,02A01A01,perdita rete su adduttrice briccola,aulla,AULLA,piazza corbani,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2019,577365.3845,4895269.3677,448.53,POINT (577365.3845 4895269.3677)
177,1892099,19ODL341057,02A05A03,Perdita acqua dalla rete albiano m aulla su aduttrice caprigliola,AULLA,ALBIANO MAGRA,VIA REPUBBLICA 3,3,AULLA,PEAD,110.0,0.0,CLOSE,iso,2019,573840.7816,4891610.112,476.4,POINT (573840.7816 4891610.112)
191,2217688,20ODL284663,45A01A01,perdita  su adduttrice canala  intervento eseguito il 24 06,tresana,CANALA,canala,,TRESANA,FERRO,222.0,0.0,CLOSE,iso,2020,575108.5543,4897814.0566,319.73,POINT (575108.5543 4897814.0566)
197,2374253,20ODL438853,02A01A01,perdita su adduttrice briccola,aulla,AULLA,q.re matteotti,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2020,577498.6619,4895046.1643,447.27,POINT (577498.6619 4895046.1643)
203,2470229,21ODL160362,18A01A05,PERDITA STRADALE,FILATTIERA,LUSIGNANA,LUSIGNANA,,FILATTIERA,FERRO,110.0,0.0,CLOSE,iso,2021,577062.5205,4912437.5394,659.55,POINT (577062.5205 4912437.5394)
207,2498832,21ODL188350,38A01A02,Perdita acqua dalla rete  intervento eseguito il 20 03,PODENZANA,PODENZANA,VIA FIUME 0,,PODENZANA,PEAD,110.0,0.0,CLOSE,iso,2021,576813.143,4895225.2098,1110.67,POINT (576813.143 4895225.2098)
212,2566815,21ODL254641,39A01A07,PERDITA STRADALE,PONTREMOLI,CERETOLI,CERETOLI,,PONTREMOLI,FERRO,90.0,0.0,CLOSE,iso,2021,571468.9938,4914564.1459,422.6,POINT (571468.9938 4914564.1459)
214,2589361,21ODL276719,38A01A03,perdita su adduttrice  (intervento da eseguire il 17 06),podenzana,SALETTO,saletto,,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2021,576513.4931,4895404.0428,894.04,POINT (576513.4931 4895404.0428)
274,442207,15ODL113456,39A01R01,Perdita acqua dalla rete,PONTREMOLI,VALUGA,valunga,0,PONTREMOLI,ACCIAIO,90.0,0.0,CLOSE,iso,2015,568807.181,4912984.4951,299.61,POINT (568807.181 4912984.4951)
275,454271,15ODL125858,39A01R12,Perdita acqua dalla rete,PONTREMOLI,PONTREMOLI,VIA CASA CORVI 0,0,PONTREMOLI,ACCIAIO,140.0,0.0,CLOSE,iso,2015,568766.4681,4914939.1292,657.0,POINT (568766.4681 4914939.1292)
276,455076,15ODL126853,39A01R01,rottura idrica pontremoli,pontremoli,VICO,vico,0,PONTREMOLI,ACCIAIO,90.0,0.0,CLOSE,iso,2015,568808.4622,4912985.0212,299.61,POINT (568808.4622 4912985.0212)
333,2820825,22ODL125401,02A01A01,perdita su adduttrice aulla intervento iniziato il 15 01 ( da ultimare),AULLA,AULLA,piazza corbani,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2022,577435.7738,4895289.8174,3757.96,POINT (577435.7738 4895289.8174)
334,2829527,22ODL133994,18A01A01,PERDITA STRADALE,FILATTIERA,MONTELUSCIO,MONTELUSCIO,,FILATTIERA,FERRO,90.0,18.0,CLOSE,iso,2022,572615.0436,4911324.1417,1074.28,POINT (572615.0436 4911324.1417)
335,2875265,22ODL178792,38A01A03,perdita su adduttrice,PODENZANA,SALETTO,saletto,,PODENZANA,FERRO,110.0,0.0,COMP,iso,2022,576532.011,4895409.9679,0.0,POINT (576532.011 4895409.9679)
341,450561,15ODL122140,19A05A22,Perdita acqua dalla rete,FIVIZZANO,COLLEGNAGO-FIVIZZANO,VIA CIMA TERRA 42,42,FIVIZZANO,PEAD,110.0,0.0,CLOSE,iso,2015,592332.7327,4898885.9523,444.34,POINT (592332.7327 4898885.9523)
344,463575,15ODL135556,07A07A04,perdita,camaiore,PIEVE DI CAMAIORE,per buchignano,0,CAMAIORE,FERRO,100.0,0.0,CLOSE,iso,2015,606649.4625,4865016.6454,294.5,POINT (606649.4625 4865016.6454)
351,477478,15ODL149137,19A05A20,PERDITA STRADALE,FIVIZZANO,SELVA DI COLLEGNAGO,COMUNALE LA SELVA,0,FIVIZZANO,PEAD,110.0,0.0,CLOSE,iso,2015,591546.5073,4898967.1744,396.33,POINT (591546.5073 4898967.1744)
357,504463,15ODL175647,14A01A26,perdita dalla rete,comano,CAMPORAGHENA,camporaghena,0,COMANO,PEAD,90.0,0.0,CLOSE,iso,2015,591750.7802,4905898.2716,256.11,POINT (591750.7802 4905898.2716)
360,513095,15ODL184697,07A01A02,perdita adduttrice,camaiore,ROCIANE,vecchia per pedona,0,CAMAIORE,ACCIAIO,100.0,0.0,CLOSE,iso,2015,603817.5688,4864520.7974,313.7,POINT (603817.5688 4864520.7974)
362,513479,15ODL185208,19A05A20,PERDITA STRADALE,fivizzano,COLLEGNAGO SELVA,comunale,0,FIVIZZANO,PEAD,110.0,0.0,CLOSE,iso,2015,592511.375,4899362.9628,240.92,POINT (592511.375 4899362.9628)
363,517641,15ODL189541,20A01A01,PERDITA STRADALE IN PROSSIMITA' ROTONDA CORSIA INGRESSO PIETRASANTA SEGNALATA DA PERSONALE DELLA PRO,FORTE DEI MARMI,VITTORIA APUANA,PI CARRARA ANG EMILIA,,FORTE DEI MARMI,ACCIAIO,219.0,0.0,CLOSE,iso,2015,593783.5852,4870004.7178,1543.67,POINT (593783.5852 4870004.7178)
377,754522,16ODL251305,10A12A04,N. 1 PERDITE GIA' ESEGUITA  SU TUBO ADDUTTRICE SERBATOIO FRISONARA,CARRARA,LINARA,EMILIA,0,CARRARA,FERRO,90.0,0.0,CLOSE,iso,2016,587364.987,4882739.6998,338.87,POINT (587364.987 4882739.6998)
381,795729,16ODL294999,25A01A06,perdita  dalla rete,licciana,TAVERNELLE,strada massese 74,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2016,584049.8294,4903057.0954,256.11,POINT (584049.8294 4903057.0954)
384,811489,16ODL311535,04A04A44,riparazione perdita idrica loc.batalasco,bagnone,BATALASCO,batalasco,,BAGNONE,FERRO,90.0,0.0,CLOSE,iso,2016,578263.0683,4904426.4598,318.94,POINT (578263.0683 4904426.4598)
400,913341,16ODL415877,25A01A06,perdita rete idrica in loc maestà dei saldi,licciana,MAESTÀ DEI SALDI,maestà dei saldi,,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2016,585068.3416,4903850.0323,256.11,POINT (585068.3416 4903850.0323)
423,1144437,17ODL316713,18A01A05,PERDITA STRADALE,filattiera,LUSIGNANA,lusignana dei boccioni,,FILATTIERA,FERRO,125.0,0.0,CLOSE,iso,2017,578127.396,4913647.1516,296.95,POINT (578127.396 4913647.1516)
446,1285404,17ODL462557,19A09A30,Perdita acqua da allaccio,FIVIZZANO,TENERANO,LOC TENERANO 13,,FIVIZZANO,PEAD,100.0,0.0,CLOSE,iso,2017,589760.8786,4890992.7977,672.42,POINT (589760.8786 4890992.7977)
456,1399849,18ODL210533,22A06A19,perdita acqua dalla rete,fosdinovo,BIVIO FOCE PULICA,provinciale,0,FOSDINOVO,FERRO,110.0,0.0,CLOSE,iso,2018,582349.7004,4887642.5067,246.99,POINT (582349.7004 4887642.5067)
457,1420027,18ODL230810,19A09A37,Perdita acqua dalla rete,FIVIZZANO,SAN TERENZO MONTI,VIA PROVINCIALE 0,,FIVIZZANO,FERRO,150.0,0.0,CLOSE,iso,2018,584171.3178,4893698.8348,409.12,POINT (584171.3178 4893698.8348)
465,1496692,18ODL310646,25A01A01,perdita rete idrica eseguita il 26 07 2018 c/o gatticini,licciana,LICCIANA,licciana,snc,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2018,582379.7054,4901439.9029,238.2,POINT (582379.7054 4901439.9029)
477,1570381,18ODL386128,02A02A01,perdite su adduttrice olivola intervento iniziato il 02 10 2018,aulla,OLIVOLA,olivola,,AULLA,FERRO,222.0,0.0,CLOSE,iso,2018,582151.3574,4897277.1707,3505.34,POINT (582151.3574 4897277.1707)
478,1583208,18ODL399282,02A02A01,Perdita acqua dalla rete,AULLA,OLIVOLA,VIA S. GIUSEPPE 1,,AULLA,FERRO,222.0,0.0,CLOSE,iso,2018,582146.9676,4897274.9937,395.89,POINT (582146.9676 4897274.9937)
502,1810606,19ODL256130,04A04A38,perdita dalla rete,BAGNONE,IERA,S.P. 67 PER IERA,,BAGNONE,FERRO,220.0,0.0,CLOSE,iso,2019,581334.9069,4909832.494,518.52,POINT (581334.9069 4909832.494)
507,1875337,19ODL323677,19A05A34,PERDITA STRADALE,FIVIZZANO,MOTTA,SELVA,,FIVIZZANO,PEAD,110.0,0.0,CLOSE,iso,2019,583809.2582,4894710.6338,261.98,POINT (583809.2582 4894710.6338)
509,1890896,19ODL339582,19A21A02,PERDITA STRADALE,FIVIZZANO,PIANDIMOLINO,LOC. SICCIARRA,,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2019,589132.1768,4891707.7218,255.09,POINT (589132.1768 4891707.7218)
510,1891458,19ODL340282,02A02A01,PERDITA STRADALE cimitero olivola aulla,AULLA,OLIVOLA,DAVANTI AL CIMITERO,,AULLA,FERRO,222.0,0.0,CLOSE,iso,2019,582127.6067,4897054.7464,1474.8,POINT (582127.6067 4897054.7464)
533,2073353,20ODL143618,02A02A01,Perdita acqua dalla rete aulla via provinciale km 2+800 olivola,AULLA,OLIVOLA,SP 19 di OLIVOLA 0,0,AULLA,FERRO,222.0,0.0,CLOSE,iso,2019,582112.4115,4897026.5693,332.99,POINT (582112.4115 4897026.5693)
541,2123941,20ODL192615,51A01A03,PERDITA STRADALE,BAGNONE,ORTURANO,ORTURANO,00,VILLAFRANCA IN LUNIGIANA,FERRO,140.0,0.0,CLOSE,iso,2020,578410.7102,4908410.3903,443.18,POINT (578410.7102 4908410.3903)
542,2142234,20ODL210441,22A06A11,PERDITA STRADALE - Campedello Fosdinovo,FOSDINOVO,CAMPEDELLO,CAMPAGNA,00,FOSDINOVO,ACCIAIO,165.0,0.0,CLOSE,iso,2020,583958.7241,4887651.7074,244.02,POINT (583958.7241 4887651.7074)
543,2148691,20ODL216813,25A01A05,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,CORSO AERONAUTICA 50,,LICCIANA NARDI,FERRO,90.0,0.0,CLOSE,iso,2020,582151.5983,4901391.6579,211.59,POINT (582151.5983 4901391.6579)
547,2169243,20ODL237053,19A21A02,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA PROVINCIALE - 50 mt. prima cartello Pian di Molino venendo da Gragnola,,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2020,589006.8769,4892939.6039,255.09,POINT (589006.8769 4892939.6039)
585,2426477,21ODL117279,25A01A12,perdita rete,licciana,PANICALE,panicale,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2021,581597.9542,4901011.33,298.61,POINT (581597.9542 4901011.33)
591,2511731,21ODL200983,04A04A38,PERDITA STRADALE,BAGNONE,BAGNONE,BAGNONE,,BAGNONE,FERRO,170.0,0.0,CLOSE,iso,2021,579507.4939,4907417.5346,425.2,POINT (579507.4939 4907417.5346)
598,2644482,21ODL330487,19A17A82,PERDITA ACQUA DALLA RETE,FIVIZZANO,MONZONE,PRESSO ENTRATA VASCHE DELLE TROTE,00,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2021,589815.99,4890941.64,287.15,POINT (589815.99 4890941.64)
599,2644743,21ODL330745,25A01A03,perdita rete intervento eseguito il 05 08,LICCIANA NARDI,TAVERNELLE,tavernelle,,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2021,585647.0412,4905862.8435,387.63,POINT (585647.0412 4905862.8435)
631,504556,15ODL175773,39A01R01,PERDITA STRADALE,pontremoli,CASA CORVI,miana,1,PONTREMOLI,ACCIAIO,168.0,6.0,CLOSE,iso,2015,568076.5772,4914845.2309,514.11,POINT (568076.5772 4914845.2309)
632,508576,15ODL180036,39A01R01,perdita idrica strada per bassone,pontremoli,CASA CORVI,bassone,00,PONTREMOLI,ACCIAIO,168.0,0.0,CLOSE,iso,2015,568078.7031,4914843.6127,601.16,POINT (568078.7031 4914843.6127)
633,508584,15ODL180048,39A25R02,PERDITA STRADALE addutrice serbatoio di s.marco,pontremoli,VIGNOLA,pilacca,00,PONTREMOLI,ACCIAIO,135.0,0.0,CLOSE,iso,2015,567690.6721,4914947.3547,619.4,POINT (567690.6721 4914947.3547)
645,526971,15ODL199291,39A01R01,PERDITA STRADALE,pontremoli,VALUGA,valunga,00,PONTREMOLI,FERRO,90.0,0.0,CLOSE,iso,2015,568806.4141,4912984.487,493.44,POINT (568806.4141 4912984.487)
699,988188,17ODL156517,39A01R01,Perdita acqua dalla rete,PONTREMOLI,PONTREMOLI,VIA COCCHI 24,00,PONTREMOLI,ACCIAIO,100.0,0.0,CLOSE,iso,2017,569034.9161,4914773.7229,699.81,POINT (569034.9161 4914773.7229)
778,1582221,18ODL398122,39A01R01,Perdita acqua dalla rete,PONTREMOLI,PONTREMOLI,LOCALITA' COSTA SANTA CRISTINA 26,,PONTREMOLI,PEAD,90.0,0.0,CLOSE,iso,2018,569281.6765,4913828.1626,720.6,POINT (569281.6765 4913828.1626)
782,1583661,18ODL399892,39A09R01,perdita dalla rete,PONTREMOLI,OPPILO,VIA COMUNALE,,PONTREMOLI,ACCIAIO,125.0,0.0,CLOSE,iso,2018,569852.8799,4913282.8298,388.4,POINT (569852.8799 4913282.8298)
858,2028724,19ODL482695,39A01R01,Perdita acqua dalla rete (BLD IN SANATORIA),PONTREMOLI,PONTREMOLI,ponte borgo vecchio 0,,PONTREMOLI,FERRO,110.0,0.0,CLOSE,iso,2019,569641.2778,4913464.9921,273.87,POINT (569641.2778 4913464.9921)
901,2228842,20ODL295634,39A01R03,PERDITA STRADALE  PERDITA N.1,PONTREMOLI,PANGONA,PANGONA,00,PONTREMOLI,PEAD,140.0,0.0,CLOSE,iso,2020,568592.4283,4918155.2786,237.07,POINT (568592.4283 4918155.2786)
926,476669,15ODL148389,10A02R02,PERDITA VIA VIGNALETTO 1 LOC.SANT'ANTONIO,CARRARA,CARRARA,LDT VIGNALETTO,1,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,585549.9624,4879153.3903,338.44,POINT (585549.9624 4879153.3903)
936,530677,15ODL203135,10A02R02,Perdita acqua dalla rete,CARRARA,SANT'ANTONIO,LDT VIGNALETTO,000,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,585540.7447,4879214.5746,287.81,POINT (585540.7447 4879214.5746)
940,559183,15ODL232798,10A02R05,PERDITA VIA ANTICA MASSA LOC. AVENZA,CARRARA,AVENZA,ANTICA MASSA,0,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2015,585469.357,4877479.6463,287.81,POINT (585469.357 4877479.6463)
945,597826,15ODL272849,25A01R16,perdita rete idrica su strada provinciale in loc maestà dei saldi,licciana,MAESTÀ DEI SALDI,maestà dei saldi,snc,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585489.3845,4903930.0247,256.11,POINT (585489.3845 4903930.0247)
950,630536,16ODL119613,10A02R03,PERDITA VIA PROV.LE CARRARA AVENZA 157 LOC. NAZZANO C/O EX BIGAGLI,CARRARA,NAZZANO,PROV.LE CARRARA AVENZA,157,CARRARA,GHISA,90.0,0.0,CLOSE,iso,2016,585617.7425,4877957.7039,287.81,POINT (585617.7425 4877957.7039)
986,498915,15ODL170443,02A05R02,perdita in loc caprigliola su condotta princ eseguita il27/07/2015,aulla,CAPRIGLIOLA,del monte,snc,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574642.0931,4891663.3249,234.59,POINT (574642.0931 4891663.3249)
987,500505,15ODL171739,02A05R01,perdita rete idrica in loc caprigliola via nuova c/o civico n 26,AULLA,CAPRIGLIOLA,VIA NUOVA 26,26,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574668.0143,4891649.8373,234.59,POINT (574668.0143 4891649.8373)
988,500893,15ODL171955,02A05R01,perdita axcqua caprigliola,AULLA,CAPRIGLIOLA,Nuova angolo via chiesuola 0,0,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574651.6174,4891655.5338,234.59,POINT (574651.6174 4891655.5338)
996,579231,15ODL253579,02A05R01,perdita rete idrica in loc caprigliola via chiesuola,AULLA,CAPRIGLIOLA,VIA CHIESUOLA 2,2,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574670.9998,4891652.5977,234.59,POINT (574670.9998 4891652.5977)
1022,1045838,17ODL215932,02A05R01,perdita rete idrica in loc caprigliola,aulla,CAPRIGLIOLA,nuova,snc,AULLA,FERRO,110.0,0.0,CLOSE,iso,2017,574775.1072,4891606.065,373.12,POINT (574775.1072 4891606.065)
1025,1090122,17ODL260615,02A05R01,Perdita acqua dalla rete,AULLA,CAPRIGLIOLA,VIA VECCHIA 2,,AULLA,FERRO,110.0,0.0,CLOSE,iso,2017,574652.7219,4891657.1308,469.18,POINT (574652.7219 4891657.1308)
1035,1170125,17ODL343183,02A05R01,2 perdite via chiesuola caprigliola aulla,AULLA,CAPRIGLIOLA,VIA chiusuola 1,1,AULLA,FERRO,110.0,0.0,CLOSE,iso,2017,574777.8947,4891607.8858,1395.86,POINT (574777.8947 4891607.8858)
1072,2494276,21ODL183885,39A01R10,PERDITA STRADALE,PONTREMOLI,DOZZANO,DOZZANO,,PONTREMOLI,FERRO,90.0,0.0,CLOSE,iso,2021,567877.5677,4913543.7522,583.37,POINT (567877.5677 4913543.7522)
1084,665974,16ODL157506,10A02R02,PERDITA VIA VIGNALETTO LOC.VIGNALETTO,CARRARA,VIGNALETTO,VIGNALETTO,0,CARRARA,PEAD,110.0,2.0,CLOSE,iso,2016,585544.045,4879168.4076,2206.4,POINT (585544.045 4879168.4076)
1087,684819,16ODL177520,10A02R02,PERDITA VIA VIGNALETTO 5 LOC. SANT' ANTONIO,CARRARA,SANT 'ANTONIO,LDT VIGNALETTO,5,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2016,585524.3582,4879199.9572,287.81,POINT (585524.3582 4879199.9572)
